buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	207684	-230373.477
2026-01-01	2026-03-01	203458	-332674.1757999999
2026-01-01	2026-04-01	199401	-317685.6731999998
2026-01-01	2026-05-01	195503	-391260.1538999999
2026-01-01	2026-06-01	191754	-445818.4622999999
2026-01-01	2026-07-01	188146	-461550.3599
2026-01-01	2026-08-01	184672	-425595.09119999997
2026-01-01	2026-09-01	181323	-409409.2017
2026-01-01	2026-10-01	178094	-377420.36668
2026-01-01	2026-11-01	174978	-306739.93356
2026-01-01	2026-12-01	171969	-236044.64939999994
2026-02-01	2026-03-01	226372	-257520.78719999993
2026-02-01	2026-04-01	221361	-242545.24769999977
2026-02-01	2026-05-01	216567	-325673.4545999999
2026-02-01	2026-06-01	211976	-387375.5412
2026-02-01	2026-07-01	207576	-405946.0043999999
2026-02-01	2026-08-01	203355	-367482.8205
2026-02-01	2026-09-01	199302	-350851.24079999997
2026-02-01	2026-10-01	195407	-316895.44003999996
2026-02-01	2026-11-01	191662	-240635.47424000004
2026-02-01	2026-12-01	188058	-164569.55579999991
2026-03-01	2026-04-01	253528	-132476.8309333332
2026-03-01	2026-05-01	247259	-230107.46736666662
2026-03-01	2026-06-01	241293	-302649.78835000005
2026-03-01	2026-07-01	235608	-325724.13320000004
2026-03-01	2026-08-01	230184	-284031.71040000004
2026-03-01	2026-09-01	225005	-267133.43616666674
2026-03-01	2026-10-01	220054	-230738.35521333342
2026-03-01	2026-11-01	215316	-146921.5903200001
2026-03-01	2026-12-01	210777	-63640.60219999999
2026-04-01	2026-05-01	243783	-240930.73890000008
2026-04-01	2026-06-01	237981	-312219.1729500001
2026-04-01	2026-07-01	232450	-334762.8675000001
2026-04-01	2026-08-01	227169	-293411.4804000002
2026-04-01	2026-09-01	222123	-276520.9227000001
2026-04-01	2026-10-01	217296	-240377.18112000014
2026-04-01	2026-11-01	212675	-157383.75350000022
2026-04-01	2026-12-01	208246	-74885.26160000009
2026-05-01	2026-06-01	265981	-231301.51061666664
2026-05-01	2026-07-01	259089	-258523.32234999997
2026-05-01	2026-08-01	252546	-214478.89960000003
2026-05-01	2026-09-01	246325	-197692.23416666672
2026-05-01	2026-10-01	240403	-159600.34632666668
2026-05-01	2026-11-01	234760	-69884.92186666679
2026-05-01	2026-12-01	229375	18976.958333333358
2026-06-01	2026-07-01	284805	-184928.63324999998
2026-06-01	2026-08-01	276918	-138671.30380000008
2026-06-01	2026-09-01	269457	-122351.44180000006
2026-06-01	2026-10-01	262386	-82753.04592000005
2026-06-01	2026-11-01	255678	12991.851439999899
2026-06-01	2026-12-01	249304	107508.19493333333
2026-07-01	2026-08-01	287370	-106164.05700000004
2026-07-01	2026-09-01	279342	-90152.97480000003
2026-07-01	2026-10-01	271751	-50016.6773866667
2026-07-01	2026-11-01	264561	48188.904279999915
2026-07-01	2026-12-01	257743	144997.62036666673
2026-08-01	2026-09-01	266240	-132827.13600000003
2026-08-01	2026-10-01	259336	-93418.01392000003
2026-08-01	2026-11-01	252780	1511.624399999898
2026-08-01	2026-12-01	246548	95266.14720000005
2026-09-01	2026-10-01	255167	-107991.77773999998
2026-09-01	2026-11-01	248818	-14187.602360000044
2026-09-01	2026-12-01	242777	78514.08180000009
2026-10-01	2026-11-01	238994	-53109.24668000007
2026-10-01	2026-12-01	233415	36926.253000000055
2026-11-01	2026-12-01	212666	-55250.62679999991
